mlid,ref_parent,path,title,weight,expanded
1,0,"content/about-project","Project",-9,1
2,1,"content/about-project","About",0,1
3,1,"content/background","Background",1,1
4,0,"network/partner","Network",2,1
5,4,"network/partner","Partners",5,1
6,4,"network/researcher","Researchers",6,1
7,4,"network/advisory","Advisory Board",7,1
8,4,"institutions","Institutions",8,1
20,0,"news","News",3,1
21,0,"events","Events",4,1
